,ID,Дата,Цена,Район,Залог,Комиссия,Предоплата,Срок аренды,Общая площадь,Год постройки
1144,292285371,10 08 23:29,40000,Выборгский,40000,0.5,1 месяц,несколько месяцев,26,2022
1145,159467890,10 08 20:21,38000,Выборгский,40000,0,1 месяц,несколько месяцев,20,2006
1146,264697722,01 10 09:15,35000,Приморский,35000,0.7,1 месяц,от года,48,2006
1147,291908359,30 09 19:52,40000,Приморский,40000,0.6,1 месяц,от года,62,1989
1148,279100982,30 09 16:07,35000,Петродворцовый,35000,0.5,1 месяц,от года,57,2008
1149,292778510,29 08 21:14,40000,Приморский,40000,0.8,1 месяц,от года,60,1949
1150,292814211,29 08 08:56,40000,Выборгский,40000,0.6,1 месяц,от года,35.1,
1151,292707181,28 08 10:59,40000,Центральный,45000,0.5,1 месяц,несколько месяцев,36.1,1798
1152,292955322,28 08 00:07,40000,Курортный,40000,0.5,1 месяц,от года,67,1986
1153,292903361,24 08 18:41,40000,Приморский,40000,1.0,1 месяц,несколько месяцев,50,1970
1154,291970699,20 08 23:04,35000,Красносельский,35000,0.5,1 месяц,от года,65,1981
1155,293091460,29 08 23:49,37000,Выборгский,37000,0.6,1 месяц,от года,51,2020
1156,293178069,01 10 10:29,37000,Адмиралтейский,37000,0.5,1 месяц,от года,36,2019
1157,292306199,30 09 17:33,37000,Невский,41000,0.5,1 месяц,от года,46,2010
1158,292969778,29 08 17:20,38000,Фрунзенский,40000,0.6,,от года,30,1969
1159,292043958,29 08 15:28,35000,Красносельский,35000,0.5,1 месяц,от года,68,2001
1160,275620858,27 08 09:55,38000,Приморский,38000,0.5,1 месяц,от года,45,1960
1161,292179535,25 08 13:05,38000,Московский,38000,0.4,1 месяц,от года,35,2006
1162,272692831,24 08 10:50,37000,Невский,35000,0.4,1 месяц,от года,44,1995
1163,287331300,23 08 16:25,35000,Кировский,34000,0.5,1 месяц,от года,25,
1164,273260634,28 08 09:56,37000,Невский,38000,0.5,1 месяц,от года,42,1960
